Piestany;2;Maros;Sefcovic;4033
Prasnik;1;Zuzana;Caputova;194
Prasnik;2;Maros;Sefcovic;142
Rakovice;1;Zuzana;Caputova;112
Rakovice;2;Maros;Sefcovic;91
Ratnovce;1;Zuzana;Caputova;198
Ratnovce;2;Maros;Sefcovic;130
Sokolovce;1;Zuzana;Caputova;189
Sokolovce;2;Maros;Sefcovic;252
Sipkove;1;Zuzana;Caputova;71
Sipkove;2;Maros;Sefcovic;55
Sterusy;1;Zuzana;Caputova;74
Sterusy;2;Maros;Sefcovic;94
Trebatice;1;Zuzana;Caputova;288
Trebatice;2;Maros;Sefcovic;225
Velke Kostolany;1;Zuzana;Caputova;450
Velke Kostolany;2;Maros;Sefcovic;381
Velke Orviste;1;Zuzana;Caputova;198
Velke Orviste;2;Maros;Sefcovic;177
Vesele;1;Zuzana;Caputova;232
Vesele;2;Maros;Sefcovic;170
Vrbove;1;Zuzana;Caputova;1247
Vrbove;2;Maros;Sefcovic;900
Bilkove Humence;1;Zuzana;Caputova;46
Bilkove Humence;2;Maros;Sefcovic;40
Borsky Mikulas;1;Zuzana;Caputova;739
Borsky Mikulas;2;Maros;Sefcovic;454
Borsky Svaty Jur;1;Zuzana;Caputova;332
Borsky Svaty Jur;2;Maros;Sefcovic;203
Cerova;1;Zuzana;Caputova;303
Cerova;2;Maros;Sefcovic;216
Cary;1;Zuzana;Caputova;175
Cary;2;Maros;Sefcovic;176
Castkov;1;Zuzana;Caputova;184
Castkov;2;Maros;Sefcovic;83
Dojc;1;Zuzana;Caputova;195
Dojc;2;Maros;Sefcovic;191
Hlboke;1;Zuzana;Caputova;209
Hlboke;2;Maros;Sefcovic;168
Hradiste pod Vratnom;1;Zuzana;Caputova;190
Hradiste pod Vratnom;2;Maros;Sefcovic;112
Jablonica;1;Zuzana;Caputova;437
Jablonica;2;Maros;Sefcovic;351
Kovalov;1;Zuzana;Caputova;185
Kovalov;2;Maros;Sefcovic;96
Kuklov;1;Zuzana;Caputova;68
Kuklov;2;Maros;Sefcovic;89
Kuty;1;Zuzana;Caputova;1577
Kuty;2;Maros;Sefcovic;531
Laksarska Nova Ves;1;Zuzana;Caputova;229
Laksarska Nova Ves;2;Maros;Sefcovic;133
Moravsky Svaty Jan;1;Zuzana;Caputova;580
Moravsky Svaty Jan;2;Maros;Sefcovic;229
Osuske;1;Zuzana;Caputova;139
Osuske;2;Maros;Sefcovic;64
Plavecky Peter;1;Zuzana;Caputova;113
Plavecky Peter;2;Maros;Sefcovic;105
Podbranc;1;Zuzana;Caputova;154
Podbranc;2;Maros;Sefcovic;121
Prietrz;1;Zuzana;Caputova;167
Prietrz;2;Maros;Sefcovic;157
Prievaly;1;Zuzana;Caputova;229
Prievaly;2;Maros;Sefcovic;168
Rohov;1;Zuzana;Caputova;70
Rohov;2;Maros;Sefcovic;58
Rovensko;1;Zuzana;Caputova;140
Rovensko;2;Maros;Sefcovic;71
Rybky;1;Zuzana;Caputova;97
Rybky;2;Maros;Sefcovic;79
Sekule;1;Zuzana;Caputova;357
Sekule;2;Maros;Sefcovic;233
Senica;1;Zuzana;Caputova;4318
Senica;2;Maros;Sefcovic;2562
Smolinske;1;Zuzana;Caputova;219
Smolinske;2;Maros;Sefcovic;133
Smrdaky;1;Zuzana;Caputova;167
Smrdaky;2;Maros;Sefcovic;156
Sobotiste;1;Zuzana;Caputova;373
Sobotiste;2;Maros;Sefcovic;228
Sajdikove Humence;1;Zuzana;Caputova;241
Sajdikove Humence;2;Maros;Sefcovic;156
Sastin - Straze;1;Zuzana;Caputova;763
Sastin - Straze;2;Maros;Sefcovic;641
Stefanov;1;Zuzana;Caputova;228
Stefanov;2;Maros;Sefcovic;245
Brodske;1;Zuzana;Caputova;467
Brodske;2;Maros;Sefcovic;368
Dubovce;1;Zuzana;Caputova;138
Dubovce;2;Maros;Sefcovic;114
Gbely;1;Zuzana;Caputova;1238
Gbely;2;Maros;Sefcovic;532
Holic;1;Zuzana;Caputova;2576
Holic;2;Maros;Sefcovic;1150
Chropov;1;Zuzana;Caputova;75
Chropov;2;Maros;Sefcovic;62
Katov;1;Zuzana;Caputova;135
Katov;2;Maros;Sefcovic;73
Kopcany;1;Zuzana;Caputova;460
Kopcany;2;Maros;Sefcovic;270
Kovalovec;1;Zuzana;Caputova;26
Kovalovec;2;Maros;Sefcovic;40
Letnicie;1;Zuzana;Caputova;102
Letnicie;2;Maros;Sefcovic;87
Lopasov;1;Zuzana;Caputova;138
Lopasov;2;Maros;Sefcovic;21
Mokry Haj;1;Zuzana;Caputova;144
Mokry Haj;2;Maros;Sefcovic;127
Oreske;1;Zuzana;Caputova;144
Oreske;2;Maros;Sefcovic;55
Petrova Ves;1;Zuzana;Caputova;280
Petrova Ves;2;Maros;Sefcovic;134
Popudinske Mocidlany;1;Zuzana;Caputova;179
Popudinske Mocidlany;2;Maros;Sefcovic;116
Prietrzka;1;Zuzana;Caputova;164
Prietrzka;2;Maros;Sefcovic;54
Radimov;1;Zuzana;Caputova;150
Radimov;2;Maros;Sefcovic;61
Radosovce;1;Zuzana;Caputova;434
Radosovce;2;Maros;Sefcovic;219
Skalica;1;Zuzana;Caputova;3960
Skalica;2;Maros;Sefcovic;1597
Trnovec;1;Zuzana;Caputova;94
Trnovec;2;Maros;Sefcovic;41
Unin;1;Zuzana;Caputova;343
Unin;2;Maros;Sefcovic;130
Vradiste;1;Zuzana;Caputova;181
Vradiste;2;Maros;Sefcovic;90
Bojnicky;1;Zuzana;Caputova;217
Bojnicky;2;Maros;Sefcovic;240
Cervenik;1;Zuzana;Caputova;293
Cervenik;2;Maros;Sefcovic;283
Dolne Otrokovce;1;Zuzana;Caputova;66
Dolne Otrokovce;2;Maros;Sefcovic;62
Dolne Trhoviste;1;Zuzana;Caputova;100
Dolne Trhoviste;2;Maros;Sefcovic;127
Dolne Zelenice;1;Zuzana;Caputova;121
Dolne Zelenice;2;Maros;Sefcovic;129
Dvorniky;1;Zuzana;Caputova;260
Dvorniky;2;Maros;Sefcovic;288
Hlohovec;1;Zuzana;Caputova;4062
Hlohovec;2;Maros;Sefcovic;3348
Horne Otrokovce;1;Zuzana;Caputova;125
Horne Otrokovce;2;Maros;Sefcovic;185
Horne Trhoviste;1;Zuzana;Caputova;79
Horne Trhoviste;2;Maros;Sefcovic;134
Horne Zelenice;1;Zuzana;Caputova;107
Horne Zelenice;2;Maros;Sefcovic;96
Jalsove;1;Zuzana;Caputova;56
Jalsove;2;Maros;Sefcovic;76
Klacany;1;Zuzana;Caputova;201
Klacany;2;Maros;Sefcovic;173
Koplotovce;1;Zuzana;Caputova;162
Koplotovce;2;Maros;Sefcovic;91
Leopoldov;1;Zuzana;Caputova;868
Leopoldov;2;Maros;Sefcovic;720
Madunice;1;Zuzana;Caputova;416
Madunice;2;Maros;Sefcovic;390
Merasice;1;Zuzana;Caputova;74
Merasice;2;Maros;Sefcovic;88
Pastuchov;1;Zuzana;Caputova;144
Pastuchov;2;Maros;Sefcovic;168
Ratkovce;1;Zuzana;Caputova;51
Ratkovce;2;Maros;Sefcovic;74
Sasinkovo;1;Zuzana;Caputova;83
Sasinkovo;2;Maros;Sefcovic;148
Siladice;1;Zuzana;Caputova;175
Siladice;2;Maros;Sefcovic;84
Tekoldany;1;Zuzana;Caputova;16
Tekoldany;2;Maros;Sefcovic;35
Teplicky;1;Zuzana;Caputova;27
Teplicky;2;Maros;Sefcovic;75
Trakovice;1;Zuzana;Caputova;329
Trakovice;2;Maros;Sefcovic;274
Zlkovce;1;Zuzana;Caputova;130
Zlkovce;2;Maros;Sefcovic;100
Biely Kostol;1;Zuzana;Caputova;479
Biely Kostol;2;Maros;Sefcovic;329
Binovce;1;Zuzana;Caputova;122
Binovce;2;Maros;Sefcovic;145
Bohdanovce nad Trnavou;1;Zuzana;Caputova;360
Bohdanovce nad Trnavou;2;Maros;Sefcovic;216
Boleraz;1;Zuzana;Caputova;488
Boleraz;2;Maros;Sefcovic;334
Borova;1;Zuzana;Caputova;91
Borova;2;Maros;Sefcovic;86
Brestovany;1;Zuzana;Caputova;414
Brestovany;2;Maros;Sefcovic;440
Bucany;1;Zuzana;Caputova;493
Bucany;2;Maros;Sefcovic;397
Bukova;1;Zuzana;Caputova;142
Bukova;2;Maros;Sefcovic;133
Cifer;1;Zuzana;Caputova;1095
Cifer;2;Maros;Sefcovic;657
Dechtice;1;Zuzana;Caputova;324
Dechtice;2;Maros;Sefcovic;348
Dlha;1;Zuzana;Caputova;84
Dlha;2;Maros;Sefcovic;76
Dobra Voda;1;Zuzana;Caputova;185
Dobra Voda;2;Maros;Sefcovic;178
Dolna Krupa;1;Zuzana;Caputova;477
Dolna Krupa;2;Maros;Sefcovic;362
Dolne Dubove;1;Zuzana;Caputova;163
Dolne Dubove;2;Maros;Sefcovic;119
Dolne Lovcice;1;Zuzana;Caputova;145
Dolne Lovcice;2;Maros;Sefcovic;153
Dolne Oresany;1;Zuzana;Caputova;323
Dolne Oresany;2;Maros;Sefcovic;212
Horna Krupa;1;Zuzana;Caputova;113
Horna Krupa;2;Maros;Sefcovic;98
Horne Dubove;1;Zuzana;Caputova;67
Horne Dubove;2;Maros;Sefcovic;77
Horne Oresany;1;Zuzana;Caputova;466
